,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,0,0.645025023639722,0,1,NA,thrL,ECB_00001,b0001,0,protein,Sta,carbonSource,gluconate,glycerol
2,YP_003043231.1,182.898722036479,1.05941259489755,0.636655071710117,1.66402914540815,0.096106605121261,0.253231525549132,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,gluconate,glycerol
3,YP_003043232.1,41.9621076184805,1.25836836165404,0.692036813715662,1.81835465500405,0.0690099442222396,0.214291124749413,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,gluconate,glycerol
4,YP_003043233.1,178.921538549459,1.20475195442262,0.712497725984552,1.69088533266244,0.0908587051413218,0.24627645993752,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,gluconate,glycerol
5,YP_003043234.1,0.15122134955216,0.0324765829747776,0.819212679525055,0.0396436527247188,0.968377224934076,NA,yaaX,ECB_00005,b0005,1,protein,Sta,carbonSource,gluconate,glycerol
6,YP_003043235.1,27.0289230626919,1.13138644350354,0.58171508094967,1.94491509770816,0.0517851976271563,0.189910874656809,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,gluconate,glycerol
7,YP_003043236.1,0.0984377045983535,0,0.70747760810284,0,1,NA,yaaJ,ECB_00007,b0007,0,protein,Sta,carbonSource,gluconate,glycerol
8,YP_003043237.1,145.403055904449,0.916485315164166,0.678083397842347,1.35158200020884,0.176509071669541,0.355965131354655,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,gluconate,glycerol
9,YP_003043238.1,8.86515360498028,0.827336680368352,0.624132813003051,1.325577926896,0.184979541588266,0.364401757892764,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,gluconate,glycerol
10,YP_003043239.1,0.0379747773232496,0,0.645021284888601,0,1,NA,yaaH,ECB_00010,b0010,0,protein,Sta,carbonSource,gluconate,glycerol
